word,count,mean_rating,raw_vader_score,category
dark,43,4.488372093023256,0.0,SADNESS
difficulty,16,4.5625,-1.4,SADNESS
danger,15,4.666666666666667,-2.4,SADNESS
forecast,40,4.725,0.0,TRUST
cove,51,4.882352941176471,0.0,JOY
harry,302,4.940397350993377,0.0,SADNESS
ruined,18,2.9444444444444446,-2.1,SADNESS
broken,15,4.466666666666667,-2.1,SADNESS
veteran,17,4.882352941176471,0.0,TRUST
grab,23,4.826086956521739,0.0,ANGER
crash,23,4.478260869565218,-1.7,SADNESS
impression,36,4.5,0.9,CATE
witty,18,4.944444444444445,0.0,JOY
smell,16,4.0625,0.0,DISGUST
discomfort,17,4.411764705882353,-1.8,SADNESS
smith,24,5.0,0.0,TRUST
balanced,15,4.8,0.0,CATE
convinced,29,4.827586206896552,1.7,TRUST
store,79,4.89873417721519,0.0,ANTICIPATION
humorous,37,4.945945945945946,1.6,JOY
shame,24,4.166666666666667,-2.1,SADNESS
silly,15,4.933333333333334,0.1,JOY
tomorrow,25,4.4,0.0,ANTICIPATION
towering,21,4.9523809523809526,0.0,ANTICIPATION
cramped,26,4.538461538461538,0.0,CATE
spoil,22,4.7727272727272725,0.0,DISGUST
belt,18,4.222222222222222,0.0,FEAR
anxious,33,4.636363636363637,-1.0,ANTICIPATION
management,16,3.8125,0.0,TRUST
reluctant,17,4.764705882352941,-1.0,FEAR
bargain,25,5.0,0.8,TRUST
stomach,57,4.754385964912281,0.0,DISGUST
granted,20,4.8,1.0,CATE
unpredictable,34,4.823529411764706,0.0,SURPRISE
confirmation,44,4.0,0.0,TRUST
result,22,4.409090909090909,0.0,ANTICIPATION
privileged,15,4.666666666666667,1.9,JOY
bother,35,4.514285714285714,-1.4,CATE
suffer,17,4.9411764705882355,-2.5,CATE
tough,22,4.5,-0.5,SADNESS
comprehensive,25,4.96,1.0,CATE
shoot,23,4.869565217391305,-1.4,FEAR
checklist,31,4.967741935483871,0.0,TRUST
sudden,15,4.933333333333334,0.0,SURPRISE
fortune,19,4.947368421052632,0.0,JOY
weigh,56,4.857142857142857,0.0,TRUST
suddenly,20,4.95,0.0,SURPRISE
eager,26,4.769230769230769,1.5,JOY
comprehend,16,5.0,0.0,CATE
greater,39,4.82051282051282,1.5,CATE
cheerful,20,5.0,2.5,JOY
depart,17,4.705882352941177,0.0,SADNESS
caution,24,4.708333333333333,0.0,ANTICIPATION
heartily,16,5.0,0.0,JOY
lesser,15,4.733333333333333,0.0,DISGUST
luxury,17,4.470588235294118,0.0,JOY
calf,16,4.9375,0.0,JOY
diverse,19,5.0,0.0,CATE
