word,count,mean_rating,mean_polarity,category
hot,106,4.556603773584905,0.8862698113207547,ANGER
excited,162,4.753086419753086,0.9143487654320986,ANTICIPATION
fact,204,4.666666666666667,0.8945892156862745,TRUST
uncomfortable,55,3.981818181818182,0.5334763636363637,CATE
building,70,4.828571428571428,0.937347142857143,CATE
storm,38,4.526315789473684,0.7982605263157895,ANGER
sea,471,4.895966029723992,0.8782386411889597,CATE
war,193,4.849740932642487,-0.7279829015544041,FEAR
gut,52,4.75,-0.6047923076923077,DISGUST
watch,122,4.844262295081967,0.9045737704918033,ANTICIPATION
eagle,61,4.836065573770492,0.9139557377049181,TRUST
voyage,19,5.0,0.42335789473684216,ANTICIPATION
received,214,4.52803738317757,0.8406560747663551,CATE
eat,102,4.833333333333333,0.9088470588235292,CATE
nausea,35,4.742857142857143,0.8502542857142857,DISGUST
warning,41,4.2926829268292686,0.7202951219512195,FEAR
respectful,15,5.0,0.9371533333333333,TRUST
interested,146,4.691780821917808,0.9190164383561644,DISGUST
catch,63,4.666666666666667,0.7994095238095239,SURPRISE
genial,18,4.777777777777778,0.04274999999999998,JOY
sin,23,4.869565217391305,-0.49889130434782614,ANGER
suggest,136,4.772058823529412,0.9254816176470588,TRUST
present,72,4.944444444444445,0.9280319444444446,ANTICIPATION
explore,122,4.909836065573771,0.8946516393442624,ANTICIPATION
die,250,4.828,-0.596244,FEAR
fair,58,4.5344827586206895,0.8594586206896551,CATE
food,70,4.614285714285714,0.9146857142857143,JOY
sunny,369,4.8861788617886175,0.9383349593495934,ANTICIPATION
sky,619,4.906300484652665,0.9045794830371567,CATE
complain,18,4.5,0.6948833333333334,ANGER
plan,320,4.8625,0.8918290625,ANTICIPATION
polite,125,4.832,0.8635136,CATE
disappoint,127,4.937007874015748,0.8811976377952756,ANGER
familiar,45,4.844444444444444,0.8002577777777778,TRUST
communicative,25,5.0,0.8650520000000002,CATE
show,256,4.66796875,0.8197964843750001,TRUST
mail,60,4.65,0.4784833333333333,ANTICIPATION
split,26,4.461538461538462,0.8602461538461538,CATE
romantic,42,5.0,0.9300285714285714,ANTICIPATION
negative,55,4.472727272727273,0.7474290909090908,SADNESS
doubt,108,4.935185185185185,0.9225583333333333,FEAR
lack,46,3.847826086956522,0.5218826086956523,CATE
exciting,372,4.938172043010753,0.9244543010752689,ANTICIPATION
cloudy,316,4.781645569620253,0.8825658227848102,SADNESS
attentive,99,4.959595959595959,0.9341919191919194,TRUST
departure,110,4.472727272727273,0.7792899999999998,SADNESS
change,188,4.6861702127659575,0.8775744680851064,FEAR
crystal,73,4.972602739726027,0.9446,CATE
fascinating,85,4.882352941176471,0.9507564705882353,CATE
passionate,61,4.885245901639344,0.9683836065573771,ANTICIPATION
mountain,1261,4.9095955590800955,0.8896980967486121,ANTICIPATION
grateful,82,4.926829268292683,0.9278878048780488,CATE
rainy,136,4.779411764705882,0.8654294117647058,SADNESS
knowing,96,4.645833333333333,0.8526052083333333,CATE
payment,24,4.416666666666667,0.8752541666666666,CATE
cancel,131,4.633587786259542,0.7957312977099237,SADNESS
cooperating,34,4.852941176470588,0.9422147058823529,TRUST
black,76,4.921052631578948,0.9169605263157896,SADNESS
